"","date_of_interest","BX_CASE_COUNT","BX_HOSPITALIZED_COUNT","BX_DEATH_COUNT","BK_CASE_COUNT","BK_HOSPITALIZED_COUNT","BK_DEATH_COUNT","MN_CASE_COUNT","MN_HOSPITALIZED_COUNT","MN_DEATH_COUNT","QN_CASE_COUNT","QN_HOSPITALIZED_COUNT","QN_DEATH_COUNT","SI_CASE_COUNT","SI_HOSPITALIZED_COUNT","SI_DEATH_COUNT"
"1","02/29/2020",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"2","03/01/2020",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","03/02/2020",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"4","03/03/2020",0,1,0,0,3,0,0,1,0,1,2,0,0,0,0
"5","03/04/2020",0,0,0,1,1,0,2,1,0,2,0,0,0,0,0
"6","03/05/2020",0,1,0,3,3,0,0,5,0,0,4,0,0,1,0
"7","03/06/2020",2,1,0,1,1,0,3,3,0,1,2,0,1,1,0
"8","03/07/2020",0,1,0,2,3,0,1,0,0,3,4,0,1,0,0
"9","03/08/2020",3,5,0,5,8,0,6,1,0,6,4,0,1,0,0
"10","03/09/2020",4,7,0,16,11,0,24,10,0,10,8,0,3,2,0
"11","03/10/2020",8,7,0,11,13,0,24,12,0,24,23,0,2,5,0
"12","03/11/2020",19,23,0,31,12,0,62,19,0,40,23,1,3,2,0
"13","03/12/2020",29,19,0,96,33,0,137,16,0,80,35,0,13,3,0
"14","03/13/2020",79,26,0,166,44,0,182,31,0,166,49,0,26,2,0
"15","03/14/2020",86,22,0,163,40,1,176,36,0,194,72,1,23,7,0
"16","03/15/2020",119,37,1,432,52,0,205,33,2,231,67,1,47,20,0
"17","03/16/2020",305,73,3,740,93,1,457,46,0,528,114,4,91,15,0
"18","03/17/2020",343,61,1,783,99,4,567,76,0,651,128,3,108,23,0
"19","03/18/2020",482,110,1,965,123,6,538,87,4,835,152,9,150,23,0
"20","03/19/2020",623,135,4,1204,159,6,555,106,4,1065,208,6,258,26,4
"21","03/20/2020",723,126,13,1136,222,11,653,113,11,1185,247,9,310,33,3
"22","03/21/2020",491,159,12,554,184,12,399,117,5,947,244,14,248,33,1
"23","03/22/2020",495,174,12,755,206,10,317,132,7,696,231,14,317,34,6
"24","03/23/2020",730,219,12,909,296,27,530,186,7,1192,391,28,209,43,8
"25","03/24/2020",927,271,14,1212,361,23,619,205,17,1389,421,35,350,48,6
"26","03/25/2020",1068,313,30,1255,424,37,586,200,20,1571,448,33,394,53,4
"27","03/26/2020",998,319,38,1372,490,50,626,226,29,1644,452,60,404,56,10
"28","03/27/2020",1090,315,36,1426,474,75,656,222,41,1576,513,58,371,65,7
"29","03/28/2020",761,313,62,863,396,77,388,187,28,1201,451,92,266,50,13
"30","03/29/2020",699,324,55,1149,465,89,407,160,35,1075,505,94,230,64,17
"31","03/30/2020",1315,352,75,1754,558,106,802,276,34,1859,610,98,398,72,10
"32","03/31/2020",1282,390,98,1512,544,127,616,223,43,1811,592,96,237,69,22
"33","04/01/2020",1240,377,93,1590,515,135,573,217,59,1782,579,144,264,83,16
"34","04/02/2020",1289,355,96,1610,447,171,652,242,62,1826,572,140,369,74,29
"35","04/03/2020",1452,384,116,1440,449,144,671,257,51,1762,560,159,345,69,29
"36","04/04/2020",1012,312,106,920,379,165,385,199,62,1203,521,158,345,54,20
"37","04/05/2020",822,311,124,1143,404,165,356,191,86,1135,438,181,323,72,22
"38","04/06/2020",1514,389,112,1461,475,169,721,265,69,1927,551,202,730,83,24
"39","04/07/2020",1463,334,115,1397,468,180,605,194,92,1949,536,184,630,69,27
"40","04/08/2020",1305,357,114,1305,455,171,546,172,66,1857,517,183,562,63,34
"41","04/09/2020",1285,272,108,1369,417,188,558,191,65,1560,428,172,298,53,25
"42","04/10/2020",1227,296,116,1145,330,178,495,178,69,1342,439,155,301,62,19
"43","04/11/2020",998,248,132,1131,299,160,304,132,60,987,329,164,311,47,28
"44","04/12/2020",763,229,110,703,255,201,252,130,62,916,298,174,253,44,26
"45","04/13/2020",693,263,122,1066,327,157,393,171,71,974,342,192,185,58,25
"46","04/14/2020",1076,203,111,1038,265,152,440,140,59,1300,337,161,290,46,24
"47","04/15/2020",1068,202,95,882,247,133,429,130,56,1180,263,148,317,32,24
"48","04/16/2020",940,173,86,885,230,126,355,105,55,1139,238,132,211,42,14
"49","04/17/2020",916,170,88,962,232,118,330,106,41,1099,254,122,279,32,15
"50","04/18/2020",552,135,62,575,156,116,187,84,57,705,185,136,153,29,19
"51","04/19/2020",532,142,79,635,124,118,176,69,48,866,174,135,134,28,19
"52","04/20/2020",981,142,78,983,187,95,381,96,49,1223,188,124,224,32,16
"53","04/21/2020",641,143,70,896,162,92,372,91,47,937,173,103,216,24,11
"54","04/22/2020",927,120,67,854,140,107,382,91,37,1109,154,86,173,17,14
"55","04/23/2020",735,110,58,786,126,106,400,56,47,793,137,106,127,22,13
"56","04/24/2020",579,99,62,630,128,93,408,80,47,775,138,98,143,29,14
"57","04/25/2020",418,79,57,404,94,77,145,42,40,540,91,82,88,23,9
"58","04/26/2020",196,75,54,332,76,61,98,43,34,331,100,89,46,17,7
"59","04/27/2020",551,91,54,607,92,86,302,61,30,723,107,91,107,20,9
"60","04/28/2020",668,88,56,709,92,57,323,56,35,896,106,73,130,15,8
"61","04/29/2020",557,78,40,683,94,71,285,43,32,691,87,80,124,13,14
"62","04/30/2020",482,59,45,600,74,65,217,31,35,593,79,67,130,12,11
"63","05/01/2020",450,70,45,497,66,56,240,33,24,622,81,77,78,13,8
"64","05/02/2020",263,50,49,263,53,45,138,23,22,333,64,61,61,18,12
"65","05/03/2020",153,44,27,245,58,45,103,33,35,251,70,55,35,13,15
"66","05/04/2020",349,58,33,461,73,42,214,38,19,437,60,55,89,14,8
"67","05/05/2020",294,64,26,432,66,49,242,26,18,462,49,46,82,11,12
"68","05/06/2020",279,56,29,450,62,38,165,27,17,443,55,59,60,14,8
"69","05/07/2020",298,43,28,403,53,46,119,18,23,358,51,40,60,13,4
"70","05/08/2020",250,41,22,344,52,43,99,20,13,344,43,48,42,11,5
"71","05/09/2020",175,31,21,119,38,28,75,12,14,256,34,33,32,9,3
"72","05/10/2020",75,24,12,188,36,26,95,22,19,85,18,37,14,5,8
"73","05/11/2020",226,46,27,410,50,32,192,23,14,376,58,27,27,4,3
"74","05/12/2020",355,26,19,400,38,33,163,13,14,314,26,18,53,10,6
"75","05/13/2020",461,27,16,362,47,23,156,18,8,307,27,30,47,12,6
"76","05/14/2020",255,26,11,332,39,14,149,23,16,332,44,23,42,11,6
"77","05/15/2020",181,25,15,259,43,27,135,23,11,265,32,27,33,7,6
"78","05/16/2020",108,17,27,165,30,24,51,11,10,136,30,21,25,3,2
"79","05/17/2020",56,23,19,138,18,19,50,7,11,106,28,26,10,5,2
"80","05/18/2020",187,21,11,266,28,17,129,24,7,275,33,22,38,6,2
