"date","borough","case_count","hosp_count","death_count","vx_fully","vx_plus1","vx_additional","vx_fully_perc","vx_plus1_perc","vx_additional_perc","population","percent","case_count_perc","hosp_count_perc","death_count_perc"
2020-02-29,"Bronx",0,0,0,NA,NA,NA,NA,NA,NA,1472654,16.7,0,0,0
2020-02-29,"Brooklyn",0,1,0,NA,NA,NA,NA,NA,NA,2736074,31.1,0,3.65487190770425e-05,0
2020-02-29,"Manhattan",1,0,0,NA,NA,NA,NA,NA,NA,1694251,19.2,5.90231317555663e-05,0,0
2020-02-29,"Queens",0,0,0,NA,NA,NA,NA,NA,NA,2405464,27.3,0,0,0
2020-02-29,"Staten Island",0,0,0,NA,NA,NA,NA,NA,NA,495747,5.6,0,0,0
2020-03-01,"Bronx",0,1,0,NA,NA,NA,NA,NA,NA,1472654,16.7,0,6.79046130319817e-05,0
2020-03-01,"Brooklyn",0,0,0,NA,NA,NA,NA,NA,NA,2736074,31.1,0,0,0
2020-03-01,"Manhattan",0,0,0,NA,NA,NA,NA,NA,NA,1694251,19.2,0,0,0
2020-03-01,"Queens",0,0,0,NA,NA,NA,NA,NA,NA,2405464,27.3,0,0,0
2020-03-01,"Staten Island",0,0,0,NA,NA,NA,NA,NA,NA,495747,5.6,0,0,0
2020-03-02,"Bronx",0,0,0,NA,NA,NA,NA,NA,NA,1472654,16.7,0,0,0
2020-03-02,"Brooklyn",0,2,0,NA,NA,NA,NA,NA,NA,2736074,31.1,0,7.3097438154085e-05,0
2020-03-02,"Manhattan",0,0,0,NA,NA,NA,NA,NA,NA,1694251,19.2,0,0,0
2020-03-02,"Queens",0,0,0,NA,NA,NA,NA,NA,NA,2405464,27.3,0,0,0
2020-03-02,"Staten Island",0,0,0,NA,NA,NA,NA,NA,NA,495747,5.6,0,0,0
2020-03-03,"Bronx",0,1,0,NA,NA,NA,NA,NA,NA,1472654,16.7,0,6.79046130319817e-05,0
2020-03-03,"Brooklyn",0,3,0,NA,NA,NA,NA,NA,NA,2736074,31.1,0,0.000109646157231128,0
2020-03-03,"Manhattan",0,1,0,NA,NA,NA,NA,NA,NA,1694251,19.2,0,5.90231317555663e-05,0
2020-03-03,"Queens",1,2,0,NA,NA,NA,NA,NA,NA,2405464,27.3,4.15720210321169e-05,8.31440420642338e-05,0
2020-03-03,"Staten Island",0,0,0,NA,NA,NA,NA,NA,NA,495747,5.6,0,0,0
2020-03-04,"Bronx",0,0,0,NA,NA,NA,NA,NA,NA,1472654,16.7,0,0,0
2020-03-04,"Brooklyn",1,1,0,NA,NA,NA,NA,NA,NA,2736074,31.1,3.65487190770425e-05,3.65487190770425e-05,0
2020-03-04,"Manhattan",2,1,0,NA,NA,NA,NA,NA,NA,1694251,19.2,0.000118046263511133,5.90231317555663e-05,0
2020-03-04,"Queens",2,0,0,NA,NA,NA,NA,NA,NA,2405464,27.3,8.31440420642338e-05,0,0
2020-03-04,"Staten Island",0,0,0,NA,NA,NA,NA,NA,NA,495747,5.6,0,0,0
2020-03-05,"Bronx",0,1,0,NA,NA,NA,NA,NA,NA,1472654,16.7,0,6.79046130319817e-05,0
2020-03-05,"Brooklyn",3,3,0,NA,NA,NA,NA,NA,NA,2736074,31.1,0.000109646157231128,0.000109646157231128,0
2020-03-05,"Manhattan",0,5,0,NA,NA,NA,NA,NA,NA,1694251,19.2,0,0.000295115658777832,0
2020-03-05,"Queens",0,4,0,NA,NA,NA,NA,NA,NA,2405464,27.3,0,0.000166288084128468,0
2020-03-05,"Staten Island",0,1,0,NA,NA,NA,NA,NA,NA,495747,5.6,0,0.000201715794548429,0
